PM2.5,PM10,So2,No2,Co,O3,AQI
50,60,15,19,1.05,67,71
55,87,16,28,1.02,78,82
63,94,16,28,1.07,76,88
34,48,16,28,1.04,54,56
43,48,13,28,0.93,63,63
22,28,14,20,0.71,90,51
27,48,16,39,0.94,74,52
59,109,19,59,1.4,85,94
59,94,21,51,1.24,60,81
39,66,20,31,1,114,76
38,56,19,34,0.97,62,59
42,68,16,34,0.89,85,68
57,102,18,47,0.99,91,84
65,109,22,47,1.12,94,98
66,118,25,43,1.08,91,93
34,55,6,26,0.9,86,59
48,81,20,42,1.01,78,72
53,75,16,53,1.13,56,74
34,50,15,29,0.84,67,54
28,52,17,32,0.92,51,54
24,49,15,35,1.03,45,50
47,85,20,33,1.2,81,75
32,49,16,27,0.96,48,49
20,34,17,25,0.75,57,45
23,38,16,33,0.78,36,42
28,47,18,30,0.74,71,59
42,86,24,62,1.12,86,80
64,118,22,59,1.05,92,96
72,134,30,61,1.21,95,110
74,136,20,62,1.11,72,103
86,138,20,45,1.23,66,116
49,73,18,26,1.31,63,71
54,79,23,29,1.17,48,76
59,87,25,31,1.16,77,82
51,60,18,29,1.03,42,71
21,31,15,20,0.7,57,44
39,65,19,37,1.06,57,61
30,43,14,26,1.03,25,46
28,51,19,29,0.96,68,52
36,51,15,24,1.02,50,56
11,15,14,25,0.91,27,23
13,24,18,25,1.02,54,35
30,51,17,46,1.04,70,55
43,82,23,51,1.12,78,71
31,55,26,30,0.82,96,62
27,62,23,31,0.6,84,60
35,74,18,33,0.76,100,68
85,139,34,50,1.25,86,114
84,133,25,49,1.14,74,113
87,142,33,48,1.26,79,118
82,119,27,31,1.02,89,110
29,38,18,20,0.89,70,52
32,49,17,22,0.81,78,55
49,77,24,37,1.1,54,69
46,78,18,34,1.04,80,76
50,111,30,53,1.04,72,83
59,133,37,57,1.04,87,95
123,201,25,37,1.16,112,162
111,153,28,36,1.08,117,150
79,134,37,59,1.2,102,108
71,121,44,62,1.17,115,107
80,134,35,72,1.19,94,111
66,107,27,51,1.05,100,95
68,110,24,44,0.97,103,93
116,182,24,28,0.99,103,156
54,100,22,27,0.74,65,82
67,113,26,53,0.91,81,92
110,184,31,95,1.26,74,145
137,215,45,109,1.68,38,181
170,242,38,88,1.64,47,221
164,269,40,104,1.78,35,214
127,205,45,89,1.48,81,169
179,241,30,66,1.6,49,228
44,52,19,30,1.07,59,67
67,90,24,54,1.07,61,94
62,106,31,79,1.32,39,88
78,146,32,86,1.39,53,107
93,167,39,90,1.48,52,125
115,201,46,97,1.56,61,153
165,201,25,42,1.42,64,211
95,113,25,42,1.22,37,125
42,33,17,36,1.04,27,64
21,20,15,32,0.93,25,34
91,96,9,38,1.3,31,122
107,109,21,34,1.28,60,141
24,61,22,26,0.62,60,60
39,105,30,52,1,51,79
57,112,38,72,1.24,43,84
66,93,28,66,1.12,29,90
54,87,28,59,1.18,38,78
80,90,23,53,1.09,39,108
49,46,21,39,0.81,46,69
41,58,22,47,0.8,29,59
61,76,18,49,0.96,23,83
79,100,19,56,1.05,26,106
49,82,24,49,0.77,41,80
51,119,31,63,1.01,43,86
78,138,49,74,1.23,41,106
84,121,38,66,1.06,25,113
126,144,32,63,1.26,39,167
97,115,36,49,0.98,74,130
78,115,46,66,1.29,49,105
95,148,51,84,1.28,38,126
103,155,57,87,1.59,40,137
136,200,59,108,1.81,34,181
136,173,46,76,1.45,67,175
232,74,27,63,2.61,30,274
30,9,18,39,1.43,23,49
79,51,21,43,1.31,26,109
82,36,31,47,1.44,15,110
34,37,26,44,1.25,27,52
70,67,27,51,1.92,31,98
53,25,21,44,2.2,17,73
42,54,25,47,1.62,22,65
33,108,20,31,0.64,47,80
42,110,43,36,1.01,47,87
60,92,20,50,0.92,15,83
75,109,33,50,1.14,30,101
95,130,51,69,1.45,29,127
67,106,51,69,1.25,36,96
66,105,34,54,1.04,45,96
68,120,51,59,1.2,45,96
83,110,41,58,1.19,26,112
90,80,26,41,1.07,21,120
60,116,38,48,0.86,23,95
75,142,39,63,1.08,28,103
77,137,38,79,1.2,31,107
83,139,55,83,1.45,31,112
84,161,58,81,1.39,22,123
28,96,25,39,0.7,52,77
59,111,30,72,1.08,33,86
80,140,55,82,1.29,12,107
64,97,36,61,1.06,39,87
95,128,34,67,1.49,32,126
68,111,37,47,1.13,45,94
83,128,50,71,1.29,33,111
92,135,66,78,1.47,24,123
136,176,53,90,2.06,28,180
200,195,51,68,1.72,30,251
112,110,45,61,1.71,26,148
92,94,29,52,1.24,26,122
112,113,36,46,1.23,44,148
92,123,35,65,1.46,40,124
119,184,61,89,2.11,35,161
126,239,52,84,2.16,40,181
45,119,40,58,1.06,34,86
82,142,57,78,1.35,12,110
110,181,42,88,1.61,21,146
133,215,69,117,1.92,25,175
153,168,61,95,1.84,11,199
235,118,44,68,2.37,12,284
127,152,30,69,1.98,21,169
154,192,36,97,2.12,24,203
190,227,42,104,2.12,26,241
180,220,43,108,2.17,28,229
177,221,40,119,2.67,25,228
145,177,35,82,1.84,22,190
97,121,27,55,1.5,23,129
88,90,16,60,1.08,28,118
123,150,26,79,1.59,14,163
129,142,23,68,1.25,27,171
128,160,43,73,1.44,41,169
112,146,32,65,1.16,45,148
141,172,35,87,1.51,34,187
99,165,41,95,1.44,26,132
111,168,34,74,1.45,35,156
102,133,51,69,1.45,36,135
87,134,57,85,1.45,21,116
100,158,48,91,1.5,21,133
229,57,25,61,2.05,18,280
253,0,29,63,2.47,13,304
106,7,14,32,1.56,29,139
32,1,10,26,0.73,25,46
64,24,12,33,0.89,23,88
83,57,17,40,1.04,36,111
132,89,24,44,1.24,46,174
122,3,16,54,1.43,15,161
105,39,18,54,1.36,12,138
117,61,15,46,1.27,29,154
172,179,29,76,1.79,33,221
168,200,49,77,1.87,33,214
121,160,36,84,1.51,43,161
139,194,41,108,1.72,17,184
163,185,52,65,1.83,35,210
52,84,28,60,1.03,38,73
80,115,41,76,1.15,30,108
140,161,40,66,1.39,44,186
151,188,39,89,1.76,44,196
139,189,44,104,2,45,184
124,136,37,68,1.55,43,165
99,103,25,52,1.6,20,132
105,162,23,64,1.88,25,140
143,209,31,63,1.76,60,189
119,159,26,36,1.57,71,158
107,122,25,30,1.2,61,142
41,56,9,19,0.97,34,72
81,75,14,25,1.1,45,109
122,108,15,33,1.37,31,161
114,115,15,33,1.51,29,150
91,93,16,38,1.48,25,122
73,73,13,39,1.41,20,99
53,49,16,40,1.25,17,73
43,39,13,26,1.11,39,60
21,18,10,18,0.72,54,32
61,68,18,47,0.89,40,83
75,86,25,54,1.1,37,102
62,172,21,29,0.77,56,138
47,82,22,36,0.89,58,69
47,57,17,26,0.72,56,66
101,109,22,39,0.92,49,134
81,95,27,45,1.04,46,108
65,80,28,49,0.97,33,89
102,115,26,48,1.07,49,135
153,135,22,45,1.2,32,197
81,113,26,58,1.07,37,109
68,114,26,54,0.9,72,97
81,142,40,79,1.33,37,110
85,133,31,70,1.31,25,114
108,127,28,57,1.51,8,143
82,95,26,45,1.37,23,111
40,52,25,39,1.49,12,58
22,22,12,27,1.26,21,33
41,49,14,32,1.27,24,58
45,47,12,39,1.16,39,63
71,106,19,64,1.21,43,97
72,136,29,72,1.37,50,111
57,146,25,47,0.99,73,101
55,142,29,57,1.14,49,97
50,109,35,59,0.96,68,81
48,79,27,52,1.01,50,73
65,83,20,49,1.13,59,89
62,97,21,68,1.13,36,87
78,122,23,65,1.53,30,106
46,53,19,36,1.22,34,65
47,80,22,41,1.21,40,72
59,104,27,51,1.58,27,83
22,35,18,36,1.15,23,35
42,101,29,48,1.39,39,78
42,40,13,29,1.32,38,61
52,46,8,24,1.12,73,73
74,57,9,25,1.14,76,100
49,66,9,21,0.78,61,70
37,49,14,37,0.87,54,55
50,76,22,52,0.96,45,71
69,110,20,63,1.09,46,94
89,163,30,87,1.69,59,123
45,122,17,41,0.66,76,95
27,104,16,42,0.55,71,78
45,113,22,48,0.63,81,84
72,144,31,78,1.17,22,107
75,138,25,54,1.25,40,110
75,180,28,56,1.11,54,116
81,147,28,63,1.29,46,109
22,24,9,22,0.94,66,37
27,42,12,27,0.68,68,47
49,90,15,61,0.89,51,73
55,121,19,79,0.9,53,87
75,182,25,87,1.22,62,118
79,151,22,77,1.09,48,109
102,199,23,83,1.54,68,143
83,187,23,80,1.31,70,129
63,130,20,48,0.86,83,94
51,88,16,35,0.84,63,78
74,134,16,31,1.01,109,112
57,142,23,56,1.03,110,101
60,97,18,47,1.09,77,84
23,36,10,22,0.77,60,41
46,72,12,35,0.92,89,74
50,89,15,45,0.89,66,72
72,121,16,58,1.13,70,98
88,143,14,58,1.08,83,119
78,130,17,48,1.11,77,106
47,69,9,35,0.96,74,67
50,90,13,54,1.15,75,82
72,124,20,49,1.2,92,102
33,95,13,25,0.56,82,75
38,140,12,30,0.48,90,96
43,115,19,44,0.69,60,84
29,68,14,37,0.74,40,59
46,73,11,33,0.97,52,65
60,110,14,31,0.96,119,88
53,91,20,37,0.93,87,76
77,118,12,52,1.12,47,104
104,160,12,59,1.25,89,138
79,148,14,56,1.15,89,126
36,99,21,44,0.88,143,97
47,106,19,40,0.89,124,91
81,125,15,50,0.95,79,109
121,181,18,65,1.3,111,165
132,219,28,91,1.41,92,175
99,117,16,41,1.35,106,132
86,110,12,41,1.15,47,115
80,112,13,42,1.36,67,107
40,47,10,25,0.99,55,57
61,101,11,35,0.96,87,84
86,139,14,57,1.15,96,124
78,137,22,48,1.27,85,105
33,42,10,24,1.03,58,50
39,64,12,36,0.88,76,60
39,63,14,37,0.73,57,61
32,59,14,34,0.66,77,58
43,120,19,56,0.94,70,88
32,59,17,44,0.99,63,54
28,45,13,31,0.7,63,45
53,92,16,45,0.8,63,75
44,83,15,50,0.8,58,69
44,137,14,45,0.66,72,97
48,178,17,66,0.71,80,116
50,136,15,66,0.8,55,94
37,74,16,40,0.86,48,64
25,44,11,31,0.71,41,44
50,90,12,38,1.01,51,74
22,26,9,30,0.99,49,35
35,58,9,34,0.91,86,62
48,81,14,48,1.16,80,76
66,105,16,59,1.15,67,91
60,69,8,26,1.08,108,83
43,62,10,32,1.01,103,65
50,81,13,30,1.05,98,78
30,51,11,29,0.7,63,52
23,50,6,27,0.68,48,48
35,75,8,41,1.22,76,65
27,52,6,30,0.69,48,50
29,75,8,41,1.1,69,59
41,83,8,32,0.86,68,68
24,38,6,21,0.87,36,38
25,44,7,25,0.68,90,51
47,94,9,54,0.97,81,89
50,96,10,41,1.03,70,76
34,58,9,38,0.81,90,62
37,63,8,31,0.67,93,64
29,41,9,26,0.65,78,50
23,43,9,26,0.62,97,52
44,84,10,38,0.77,94,78
45,72,9,26,0.75,75,68
23,43,9,19,0.71,68,45
28,52,8,18,0.65,52,52
33,76,7,34,0.68,70,66
50,112,9,45,0.8,84,91
70,146,12,56,1.13,74,101
47,86,9,41,0.95,44,70
19,21,10,22,0.86,68,37
29,42,6,24,0.77,44,46
52,80,7,29,0.75,70,74
57,99,10,38,0.98,73,79
42,78,9,38,0.87,63,70
47,96,8,34,0.85,137,104
48,98,10,48,1.05,78,83
27,39,7,34,0.85,51,44
32,50,8,27,0.68,86,57
39,66,10,28,0.84,93,78
24,40,10,28,0.72,40,43
17,37,9,24,0.58,45,40
19,45,11,23,0.49,65,46
19,49,13,21,0.46,81,51
21,52,10,19,0.46,78,53
18,52,11,21,0.46,80,52
18,56,12,23,0.47,76,54
22,63,12,22,0.49,87,60
27,67,14,21,0.47,96,61
23,59,14,22,0.46,75,56
25,70,13,31,0.5,64,61
26,55,10,26,0.6,78,57
27,56,10,26,0.71,86,60
37,65,9,17,0.65,99,65
21,44,8,13,0.5,51,44
13,13,8,11,0.42,39,22
16,27,9,14,0.47,49,32
25,59,13,32,0.67,69,58
33,73,13,35,0.74,90,71
54,108,18,41,0.91,97,91
47,86,11,39,0.89,53,70
44,80,9,36,0.77,91,76
59,116,15,52,1.07,93,96
62,110,14,32,0.97,102,89
30,40,10,24,0.79,63,50
24,42,9,18,0.54,89,49
35,67,12,42,0.78,77,67
38,89,13,49,0.88,82,83
50,106,16,41,0.92,93,88
54,99,12,22,0.84,122,83
59,102,11,29,0.9,109,82
61,117,13,47,0.97,121,103
76,158,15,64,1.16,96,118
67,123,15,49,1.12,93,95
66,120,14,47,1.04,114,103
65,133,18,57,1.15,94,105
65,135,16,57,1.14,93,108
54,97,11,33,0.8,101,84
38,70,13,21,0.71,131,79
45,91,17,35,0.96,119,87
43,85,15,29,0.81,75,70
30,58,12,29,0.89,70,57
38,73,13,33,0.99,84,66
61,95,14,19,1.03,122,91
40,83,17,37,1.03,108,84
42,86,19,38,0.95,116,90
45,89,20,39,1.02,130,93
46,89,16,38,0.91,71,73
49,68,11,20,0.87,92,71
32,70,21,36,0.85,92,65
42,106,25,47,0.83,96,87
61,112,25,48,1.03,95,99
54,104,20,50,0.96,97,86
47,106,29,46,0.9,85,79
44,59,11,44,0.85,43,62
32,41,15,31,0.83,39,48
64,143,15,86,1.14,98,104
63,111,20,54,0.97,95,101
58,104,21,46,0.99,77,84
58,84,13,38,1.02,86,81
52,75,13,41,1.1,59,73
38,56,12,28,0.77,72,58
57,98,18,48,0.99,73,81
57,104,21,58,1.01,86,97
63,107,26,40,1.06,121,102
32,67,15,25,0.8,88,60
19,27,13,19,0.61,57,37
30,75,13,27,0.65,59,65
50,153,21,55,0.76,75,103
77,173,26,64,1.07,88,115
64,139,22,47,1.12,93,98
76,98,17,47,1.38,70,102
53,52,16,37,1.28,24,72
23,26,13,25,1.02,43,35
23,34,13,17,0.74,81,44
37,69,18,38,0.75,58,64
53,115,20,59,0.9,56,84
72,141,18,67,1.01,53,105
71,143,28,76,1.16,67,102
78,162,33,80,1.19,63,112
83,167,31,79,1.05,74,116
100,196,37,101,1.57,60,134
106,196,28,96,1.54,71,148
95,180,33,87,1.37,93,135
109,200,31,98,1.57,85,146
64,135,27,77,1.13,81,95
74,143,25,79,1.19,70,104
86,156,28,83,1.25,79,118
75,125,20,57,1.1,96,102
111,180,19,68,1.32,73,148
114,178,22,66,1.57,77,153
104,171,22,64,1.34,68,138
92,131,17,39,1.18,30,124
24,53,19,30,0.62,50,48
43,88,27,57,0.8,24,70
24,31,14,32,0.67,32,37
118,139,17,39,1.12,38,153
47,70,13,34,0.78,47,67
61,73,16,40,0.69,58,84
62,100,24,68,1.02,43,86
69,111,28,59,1.06,49,96
84,113,24,61,1.23,21,113
65,93,21,51,1.29,16,89
46,69,22,40,1.24,14,66
26,28,15,23,0.84,19,39
46,50,16,26,0.97,32,64
74,88,26,45,1.46,35,100
75,93,17,39,1.34,35,101
97,108,12,42,1.24,36,128
55,53,11,39,0.87,17,76
47,50,11,41,1.26,19,66
60,72,15,47,1.23,25,82
47,71,20,42,1.49,17,67
47,48,11,31,1.2,25,66
48,52,14,30,1.52,25,68
40,38,8,27,1.52,26,57
47,50,30,30,1.56,9,66
49,77,18,47,1.61,13,70
54,86,19,43,1.57,9,75
46,63,17,36,1.55,11,65
23,27,13,24,1.17,9,34
17,13,5,22,0.97,23,25
58,63,23,35,0.75,32,80
44,62,15,43,0.76,39,63
47,85,28,54,0.93,22,69
84,137,31,65,1.41,14,113
88,102,20,52,1.17,13,118
97,135,23,55,1.45,6,128
58,93,14,49,1.25,15,82
51,151,18,40,0.95,28,108
51,166,20,52,0.97,27,109
25,69,19,39,0.67,31,60
53,99,18,52,0.8,10,81
66,94,13,54,1.03,15,90
63,113,24,65,1.27,12,90
66,95,16,52,1.12,14,90
74,101,15,48,0.83,13,100
140,165,15,48,1.17,20,182
233,242,18,43,1.65,36,284
260,259,10,56,2.56,10,311
118,103,8,41,1.02,14,156
124,158,16,61,1.33,22,165
44,72,18,42,0.74,36,68
24,57,16,30,0.55,48,53
42,92,23,55,0.96,22,72
67,122,30,63,1.15,20,92
100,162,39,76,1.42,9,133
90,47,11,49,0.96,21,119
80,91,21,42,0.96,18,107
112,109,11,43,1.2,13,150
172,101,12,44,1.33,22,222
142,108,14,48,1.52,24,180
278,296,41,76,2.31,41,328
135,176,31,87,1.65,32,177
139,178,15,61,1.69,19,180
95,120,9,36,1.09,10,126
120,153,16,57,1.27,16,158
152,198,21,81,1.59,21,200
125,167,28,71,1.31,30,165
113,161,39,76,1.35,17,149
140,201,49,83,1.7,16,186
119,158,31,68,1.69,12,157
194,184,16,56,1.96,15,235
101,59,11,37,2.01,9,134
88,87,10,34,1.31,12,118
101,108,16,33,1.04,33,135
126,162,21,59,1.69,22,167
132,149,19,55,1.65,15,174
107,99,13,45,1.48,12,142
188,41,14,43,1.98,16,239
80,29,11,30,1.11,12,108
84,92,23,41,1.23,32,113
128,165,25,67,1.31,18,169
123,168,27,65,1.43,25,162
122,166,17,72,1.62,15,162
138,145,20,43,1.35,51,178
208,229,25,44,1.82,34,253
137,169,27,51,1.38,47,178
103,121,22,50,1.02,26,137
70,59,12,34,0.83,24,95
57,54,10,26,0.75,38,79
69,81,20,23,0.91,52,95
24,124,12,19,0.57,61,88
35,116,15,45,0.66,44,84
61,136,33,68,1.02,29,95
70,126,36,66,1.11,19,96
76,90,14,50,1.04,21,102
89,66,10,33,1.09,38,119
70,66,8,33,1.14,22,95
96,71,8,28,1.23,24,127
114,78,20,29,1.32,59,149
112,134,22,48,1.44,59,148
96,127,21,63,1.41,44,127
90,121,19,69,1.26,46,120
88,108,20,42,1,72,119
25,73,16,18,0.52,79,62
54,99,15,31,0.77,75,80
152,187,27,51,1.25,61,193
117,145,35,48,1.36,65,155
64,94,32,46,1.19,48,87
60,81,20,38,1.12,27,82
75,82,13,25,1.29,17,101
46,50,10,13,1.2,41,66
30,45,11,12,0.6,52,49
23,41,13,20,0.56,64,42
35,57,14,42,0.69,55,54
61,90,17,70,1.11,33,83
64,93,18,70,1.14,38,88
75,151,23,56,1.01,40,119
59,229,16,39,0.64,52,140
68,207,22,37,0.83,51,130
63,91,11,30,0.91,58,86
133,186,11,33,1.02,46,171
184,230,17,50,1.54,50,233
125,172,21,62,1.28,47,166
69,112,14,33,0.76,64,100
49,95,14,43,0.82,47,78
83,157,25,48,1.09,67,113
74,123,22,50,1,74,104
85,140,29,48,1.09,82,115
97,173,34,82,1.49,53,129
148,238,36,110,1.81,13,197
85,120,17,48,1.11,47,115
113,284,20,41,1.14,57,211
142,231,21,50,1.31,55,186
139,191,23,58,1.49,40,181
45,36,8,19,0.93,50,67
19,31,6,17,0.56,60,41
36,52,10,23,0.6,55,53
56,82,15,45,0.82,45,77
62,107,32,55,0.99,47,86
86,122,19,46,0.99,56,115
117,145,20,52,1.09,81,155
113,164,29,66,1.08,62,149
112,181,23,82,1.3,46,149
137,208,23,95,1.45,9,183
125,161,15,56,1.04,56,166
115,184,21,72,1.43,52,152
92,120,12,44,1.16,52,122
69,122,15,48,0.98,74,94
84,160,21,68,1.14,76,113
83,111,8,24,0.73,86,111
35,72,8,22,0.56,98,63
33,85,18,46,0.68,66,68
58,101,12,63,0.77,53,83
59,91,12,63,0.75,54,87
47,103,13,63,0.68,68,81
58,109,16,72,0.78,29,87
78,88,7,49,1.03,18,106
58,67,6,38,0.84,55,80
62,105,19,49,1.08,49,88
75,116,16,59,1.4,16,102
46,55,5,20,0.96,44,64
44,67,9,31,1,59,64
53,74,15,42,1.19,18,74
17,18,3,30,1.07,15,25
34,52,7,44,1.18,43,51
66,118,9,84,1.55,36,92
68,131,14,80,1.55,26,96
73,144,17,78,1.57,58,106
55,125,14,61,1.01,96,98
49,107,14,50,0.95,68,80
73,152,11,75,1.12,73,108
67,139,16,60,1.01,74,100
33,66,13,33,0.81,66,59
23,38,5,28,0.77,56,43
30,59,8,41,0.87,45,55
33,66,8,44,0.61,55,59
37,87,13,39,0.83,74,71
29,40,6,28,0.8,44,46
40,72,6,36,0.83,82,63
49,96,9,56,0.95,44,74
25,42,5,33,0.67,68,44
27,48,5,30,0.74,74,48
38,66,7,41,0.91,60,60
44,62,5,43,0.96,39,63
59,95,5,24,0.85,89,82
37,82,12,47,0.91,86,70
46,105,14,52,0.81,93,87
46,111,11,49,0.78,89,87
36,82,7,32,0.75,78,69
36,78,6,27,0.76,39,65
33,111,7,40,0.59,65,82
40,119,12,54,0.86,58,86
30,51,3,28,0.78,52,49
50,90,7,40,1.18,51,73
54,132,5,26,0.85,79,94
41,87,3,22,0.72,54,70
43,60,4,37,0.84,42,61
47,73,4,36,0.86,59,68
57,104,10,42,1.04,76,85
62,138,13,33,0.93,100,105
32,95,8,24,0.66,95,74
73,115,9,41,1.19,66,101
22,53,3,27,0.68,58,48
36,92,8,54,0.66,67,78
46,99,16,56,0.76,88,82
60,113,14,54,0.88,79,90
93,147,11,57,1.16,61,124
50,55,4,27,0.9,86,69
16,23,3,20,0.55,76,39
22,42,3,30,0.58,71,47
42,72,4,49,0.71,48,64
55,97,5,50,0.76,98,81
45,79,4,46,0.76,65,71
32,42,3,30,0.7,68,49
